pkgs,contents,urls
knitr,2020_11_10_phone_history.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_10_phone_history.Rmd
tidyverse,2020_11_10_phone_history.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_10_phone_history.Rmd
tidytuesdayR,2020_11_10_phone_history.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_10_phone_history.Rmd
scales,2020_11_10_phone_history.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_10_phone_history.Rmd
WDI,2020_11_10_phone_history.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_10_phone_history.Rmd
fuzzyjoin,2020_11_10_phone_history.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_10_phone_history.Rmd
maps,2020_11_10_phone_history.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_10_phone_history.Rmd
gganimate,2020_11_10_phone_history.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_10_phone_history.Rmd
ggthemes,2020_11_10_phone_history.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_11_10_phone_history.Rmd
knitr,2020_12_15_ninja_warrior.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_15_ninja_warrior.Rmd
tidyverse,2020_12_15_ninja_warrior.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_15_ninja_warrior.Rmd
tidytuesdayR,2020_12_15_ninja_warrior.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_15_ninja_warrior.Rmd
scales,2020_12_15_ninja_warrior.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_15_ninja_warrior.Rmd
tidylo,2020_12_15_ninja_warrior.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_15_ninja_warrior.Rmd
tidytext,2020_12_15_ninja_warrior.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_15_ninja_warrior.Rmd
glue,2020_12_15_ninja_warrior.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_15_ninja_warrior.Rmd
knitr,2020_12_22_big_mac_index.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_22_big_mac_index.Rmd
tidyverse,2020_12_22_big_mac_index.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_22_big_mac_index.Rmd
tidytuesdayR,2020_12_22_big_mac_index.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_22_big_mac_index.Rmd
scales,2020_12_22_big_mac_index.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_22_big_mac_index.Rmd
ggrepel,2020_12_22_big_mac_index.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_22_big_mac_index.Rmd
gganimate,2020_12_22_big_mac_index.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_22_big_mac_index.Rmd
widyr,2020_12_22_big_mac_index.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2020_12_22_big_mac_index.Rmd
knitr,2021_01_05_transit_costs.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_05_transit_costs.Rmd
tidyverse,2021_01_05_transit_costs.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_05_transit_costs.Rmd
tidytuesdayR,2021_01_05_transit_costs.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_05_transit_costs.Rmd
scales,2021_01_05_transit_costs.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_05_transit_costs.Rmd
glue,2021_01_05_transit_costs.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_05_transit_costs.Rmd
countrycode,2021_01_05_transit_costs.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_05_transit_costs.Rmd
knitr,2021_01_12_tate_art.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_12_tate_art.Rmd
tidyverse,2021_01_12_tate_art.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_12_tate_art.Rmd
tidytuesdayR,2021_01_12_tate_art.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_12_tate_art.Rmd
scales,2021_01_12_tate_art.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_12_tate_art.Rmd
janitor,2021_01_12_tate_art.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_12_tate_art.Rmd
glue,2021_01_12_tate_art.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_12_tate_art.Rmd
ggridges,2021_01_12_tate_art.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_12_tate_art.Rmd
knitr,2021_01_19_kenya_census.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_19_kenya_census.Rmd
tidyverse,2021_01_19_kenya_census.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_19_kenya_census.Rmd
tidytuesdayR,2021_01_19_kenya_census.Rmd,https://raw.githubusercontent.com/dgrtwo/data-screencasts/master/2021_01_19_kenya_census.Rmd
