pkgs,contents,urls
devtools,content/blog/tidytext-collapse-change/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/tidytext-collapse-change/index.Rmarkdown
knitr,content/blog/un-voting/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/un-voting/index.Rmarkdown
scales,content/blog/un-voting/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/un-voting/index.Rmarkdown
tidyverse,content/blog/un-voting/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/un-voting/index.Rmarkdown
silgelib,content/blog/un-voting/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/un-voting/index.Rmarkdown
blogdown,content/blog/un-voting/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/un-voting/index.Rmarkdown
recipes,content/blog/un-voting/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/un-voting/index.Rmarkdown
embed,content/blog/un-voting/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/un-voting/index.Rmarkdown
knitr,content/blog/uncanny-xmen/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/uncanny-xmen/index.Rmarkdown
scales,content/blog/uncanny-xmen/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/uncanny-xmen/index.Rmarkdown
tidyverse,content/blog/uncanny-xmen/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/uncanny-xmen/index.Rmarkdown
silgelib,content/blog/uncanny-xmen/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/uncanny-xmen/index.Rmarkdown
blogdown,content/blog/uncanny-xmen/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/uncanny-xmen/index.Rmarkdown
readr,content/blog/uncanny-xmen/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/uncanny-xmen/index.Rmarkdown
tidymodels,content/blog/uncanny-xmen/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/uncanny-xmen/index.Rmarkdown
knitr,content/blog/water-sources/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/water-sources/index.Rmarkdown
scales,content/blog/water-sources/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/water-sources/index.Rmarkdown
tidyverse,content/blog/water-sources/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/water-sources/index.Rmarkdown
silgelib,content/blog/water-sources/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/water-sources/index.Rmarkdown
blogdown,content/blog/water-sources/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/water-sources/index.Rmarkdown
tidymodels,content/blog/water-sources/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/water-sources/index.Rmarkdown
usemodels,content/blog/water-sources/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/water-sources/index.Rmarkdown
themis,content/blog/water-sources/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/water-sources/index.Rmarkdown
doParallel,content/blog/water-sources/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/water-sources/index.Rmarkdown
vip,content/blog/water-sources/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/water-sources/index.Rmarkdown
knitr,content/blog/wind-turbine/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/wind-turbine/index.Rmarkdown
scales,content/blog/wind-turbine/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/wind-turbine/index.Rmarkdown
tidyverse,content/blog/wind-turbine/index.Rmarkdown,https://raw.githubusercontent.com/juliasilge/juliasilge.com/master/content/blog/wind-turbine/index.Rmarkdown
